code	url	product_name	image_url	image_small_url	image_front_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	salt_100g	sodium_100g	carbohydrates_100g	fiber_100g	sugars_100g	proteins_100g	calcium_100g	iron_100g	nutrition-score-fr_100g	nutrition-score-uk_100g
0044100008818	http://us.openfoodfacts.org/product/0044100008818	Beef Bologna	http://static.openfoodfacts.org/images/products/004/410/000/8818/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/004/410/000/8818/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/004/410/000/8818/front_en.6.400.jpg	1350.0	0.0	28.6	12.5	0.0	0.0	3.57	0.0	0.0	10.7	0.0	0.00129	0.0	0.0
00953634	http://us.openfoodfacts.org/product/00953634	Beef Bolognese Ravioli	http://static.openfoodfacts.org/images/products/00953634/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/00953634/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/00953634/front_en.3.400.jpg	923.0	231.0	6.3	2.76	0.74	0.291	29.9	2.36	0.787	11.0	0.063	0.00213	-1.0	-1.0
0024000323204	http://us.openfoodfacts.org/product/0024000323204	Beef broth	http://static.openfoodfacts.org/images/products/002/400/032/3204/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/002/400/032/3204/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/002/400/032/3204/front_en.6.400.jpg	35.0	0.0	0.0	0.0	1.05	0.412	0.0	0.0	0.0	1.67	0.0	0.0	3.0	3.0
0096619181674	http://us.openfoodfacts.org/product/0096619181674	Belgian Chocolate covered Cookies	http://static.openfoodfacts.org/images/products/009/661/918/1674/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/009/661/918/1674/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/009/661/918/1674/front_en.3.400.jpg	2230.0	1120.0	30.0	16.7	0.296	0.117	56.7	3.33	40.0	6.67	0.0667	0.0036	21.0	21.0
0013900500518	http://us.openfoodfacts.org/product/0013900500518	Bell's Traditional Stuffing	http://static.openfoodfacts.org/images/products/001/390/050/0518/front_fr.8.400.jpg	http://static.openfoodfacts.org/images/products/001/390/050/0518/front_fr.8.200.jpg	http://static.openfoodfacts.org/images/products/001/390/050/0518/front_fr.8.400.jpg	1490.0	0.0	3.57	0.0	4.81	1.89	75.0	3.57	7.14	10.7	0.0	0.0	10.0	10.0
0044000031947	http://us.openfoodfacts.org/product/0044000031947	Belvita Breakfast Chocolate	http://static.openfoodfacts.org/images/products/004/400/003/1947/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/004/400/003/1947/front_en.4.200.jpg	http://static.openfoodfacts.org/images/products/004/400/003/1947/front_en.4.400.jpg	1920.0	0.0	16.0	3.0	0.914	0.36	70.0	8.0	22.0	8.0	0.0	0.0036	9.0	9.0
0044000028275	http://us.openfoodfacts.org/product/0044000028275	Belvita Golden Oat	http://static.openfoodfacts.org/images/products/004/400/002/8275/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/004/400/002/8275/front_en.4.200.jpg	http://static.openfoodfacts.org/images/products/004/400/002/8275/front_en.4.400.jpg	1920.0	586.0	16.0	1.0	1.12	0.44	70.0	6.0	22.0	8.0	0.0	0.0036	8.0	8.0
0041790214260	http://us.openfoodfacts.org/product/0041790214260	Bertolli Extra Virgin Olive Oil	http://static.openfoodfacts.org/images/products/004/179/021/4260/front_en.5.400.jpg	http://static.openfoodfacts.org/images/products/004/179/021/4260/front_en.5.200.jpg	http://static.openfoodfacts.org/images/products/004/179/021/4260/front_en.5.400.jpg	3350.0	0.0	93.3	13.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2000000020933	http://us.openfoodfacts.org/product/2000000020933	Betty's Rice Mix Lila	http://static.openfoodfacts.org/images/products/200/000/002/0933/front_en.5.400.jpg	http://static.openfoodfacts.org/images/products/200/000/002/0933/front_en.5.200.jpg	http://static.openfoodfacts.org/images/products/200/000/002/0933/front_en.5.400.jpg	1464.0	0.0	1.9	0.0	0.0	0.0	74.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
2000000020931	http://us.openfoodfacts.org/product/2000000020931	Betty's Rice Mix Red	http://static.openfoodfacts.org/images/products/200/000/002/0931/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/200/000/002/0931/front_en.4.200.jpg	http://static.openfoodfacts.org/images/products/200/000/002/0931/front_en.4.400.jpg	1424.0	0.0	1.5	0.0	0.0	0.0	76.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
2000000020932	http://us.openfoodfacts.org/product/2000000020932	Betty's Thai Rice	http://static.openfoodfacts.org/images/products/200/000/002/0932/front_en.4.400.jpg	http://static.openfoodfacts.org/images/products/200/000/002/0932/front_en.4.200.jpg	http://static.openfoodfacts.org/images/products/200/000/002/0932/front_en.4.400.jpg	1464.0	0.0	0.7	0.0	0.0	0.0	78.8	0.0	0.0	7.0	0.0	0.0	0.0	0.0
0856088003163	http://us.openfoodfacts.org/product/0856088003163	Bircher (unsweetened) Muesli	http://static.openfoodfacts.org/images/products/085/608/800/3163/front_en.9.400.jpg	http://static.openfoodfacts.org/images/products/085/608/800/3163/front_en.9.200.jpg	http://static.openfoodfacts.org/images/products/085/608/800/3163/front_en.9.400.jpg	1760.0	588.0	15.8	4.39	0.111	0.0439	63.2	12.3	12.3	14.0	0.0702	0.00474	6.0	6.0
6954200700052	http://us.openfoodfacts.org/product/6954200700052	Biscuit Soda	http://static.openfoodfacts.org/images/products/695/420/070/0052/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/695/420/070/0052/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/695/420/070/0052/front_en.3.400.jpg	2004.0	732.0	18.5	8.4	1.016	0.4	68.6	0.0	0.4	9.6	0.0	0.0	17.0	17.0
0077290772009	http://us.openfoodfacts.org/product/0077290772009	Bit O Honey	http://static.openfoodfacts.org/images/products/007/729/077/2009/front_en.5.400.jpg	http://static.openfoodfacts.org/images/products/007/729/077/2009/front_en.5.200.jpg	http://static.openfoodfacts.org/images/products/007/729/077/2009/front_en.5.400.jpg	1570.0	262.0	7.5	5.0	0.762	0.3	80.0	0.0	47.5	2.5	0.1	0.0027	21.0	21.0
0854142000257	http://us.openfoodfacts.org/product/0854142000257	Black & White Cookie	http://static.openfoodfacts.org/images/products/085/414/200/0257/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/085/414/200/0257/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/085/414/200/0257/front_en.7.400.jpg	1590.0	682.0	17.4	3.26	0.717	0.282	53.2	0.0	35.8	4.34	0.0434	0.00156	17.0	17.0
0085239194775	http://us.openfoodfacts.org/product/0085239194775	Black Beans	http://static.openfoodfacts.org/images/products/008/523/919/4775/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/008/523/919/4775/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/008/523/919/4775/front_en.7.400.jpg	354.0	0.0	0.0	0.0	0.254	0.1	15.4	3.85	0.769	5.38	0.0462	0.00138	-6.0	-6.0
0070920005201	http://us.openfoodfacts.org/product/0070920005201	Black Cherry Preserves	http://static.openfoodfacts.org/images/products/007/092/000/5201/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/007/092/000/5201/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/007/092/000/5201/front_en.7.400.jpg	1040.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0
0071270007822	http://us.openfoodfacts.org/product/0071270007822	Black Forest Healthy Smoked Ham Water added	http://static.openfoodfacts.org/images/products/007/127/000/7822/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/007/127/000/7822/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/007/127/000/7822/front_en.6.400.jpg	375.0	0.0	0.0	0.0	1.63	0.643	3.57	0.0	0.0	17.9	0.0	0.00257	3.0	3.0
0080736118699	http://us.openfoodfacts.org/product/0080736118699	Black Pepper Sauce	http://static.openfoodfacts.org/images/products/008/073/611/8699/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/008/073/611/8699/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/008/073/611/8699/front_en.6.400.jpg	977.0	0.0	6.67	0.0	0.127	0.05	10.0	0.0	3.33	6.67	0.0	0.0	-2.0	-2.0
0061954004452	http://us.openfoodfacts.org/product/0061954004452	Black Soy Drink	http://static.openfoodfacts.org/images/products/006/195/400/4452/front_en.9.400.jpg	http://static.openfoodfacts.org/images/products/006/195/400/4452/front_en.9.200.jpg	http://static.openfoodfacts.org/images/products/006/195/400/4452/front_en.9.400.jpg	231.0	57.6	1.58	0.394	0.0952	0.0375	7.89	0.394	7.5	2.37	0.00789	0.000426	0.0	0.0
0041345105128	http://us.openfoodfacts.org/product/0041345105128	Blackberries in light syrup	http://static.openfoodfacts.org/images/products/004/134/510/5128/front_en.8.400.jpg	http://static.openfoodfacts.org/images/products/004/134/510/5128/front_en.8.200.jpg	http://static.openfoodfacts.org/images/products/004/134/510/5128/front_en.8.400.jpg	329.0	0.0	0.0	0.0	0.0181	0.00714	18.6	4.29	13.6	0.714	0.0143	0.000514	-7.0	-7.0
0603132300019	http://us.openfoodfacts.org/product/0603132300019	Bloody Mary Mix	http://static.openfoodfacts.org/images/products/060/313/230/0019/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/060/313/230/0019/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/060/313/230/0019/front_en.6.400.jpg	170.0	0.0	0.0	0.0	0.901	0.355	9.46	1.35	7.43	1.35	0.0	0.00073	3.0	3.0
0014054030517	http://us.openfoodfacts.org/product/0014054030517	Bluberry Protein Shake	http://static.openfoodfacts.org/images/products/001/405/403/0517/front_en.11.400.jpg	http://static.openfoodfacts.org/images/products/001/405/403/0517/front_en.11.200.jpg	http://static.openfoodfacts.org/images/products/001/405/403/0517/front_en.11.400.jpg	344.0	0.0	1.56	0.222	0.113	0.0444	10.4	0.0	9.78	5.56	0.178	0.0008	0.0	0.0
0027000009338	http://us.openfoodfacts.org/product/0027000009338	Blue Bonnet	http://static.openfoodfacts.org/images/products/002/700/000/9338/front_en.8.400.jpg	http://static.openfoodfacts.org/images/products/002/700/000/9338/front_en.8.200.jpg	http://static.openfoodfacts.org/images/products/002/700/000/9338/front_en.8.400.jpg	1790.0	1790.0	42.9	10.7	2.27	0.893	7.14	0.0	0.0	0.0	0.0	0.0	24.0	24.0
0717725991017	http://us.openfoodfacts.org/product/0717725991017	Blue Raspberry Margarita Mixer	http://static.openfoodfacts.org/images/products/071/772/599/1017/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/071/772/599/1017/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/071/772/599/1017/front_en.6.400.jpg	916.0	0.0	0.0	0.0	0.278	0.109	53.1	0.0	50.0	0.0	0.0	0.0	13.0	13.0
0075436703580	http://us.openfoodfacts.org/product/0075436703580	Blueberry Cereal bars	http://static.openfoodfacts.org/images/products/007/543/670/3580/front_en.10.400.jpg	http://static.openfoodfacts.org/images/products/007/543/670/3580/front_en.10.200.jpg	http://static.openfoodfacts.org/images/products/007/543/670/3580/front_en.10.400.jpg	1580.0	284.0	6.76	1.35	0.584	0.23	73.0	5.41	2.7	5.41	0.541	0.00486	-1.0	-1.0
00578561	http://us.openfoodfacts.org/product/00578561	Blueberry Raspberry oat bran muffins	http://static.openfoodfacts.org/images/products/00578561/front_en.3.400.jpg	http://static.openfoodfacts.org/images/products/00578561/front_en.3.200.jpg	http://static.openfoodfacts.org/images/products/00578561/front_en.3.400.jpg	937.0	218.0	5.97	0.0	0.644	0.254	43.3	5.97	11.9	5.97	0.0299	0.00161	-2.0	-2.0
0044700008676	http://us.openfoodfacts.org/product/0044700008676	Bologna	http://static.openfoodfacts.org/images/products/004/470/000/8676/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/004/470/000/8676/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/004/470/000/8676/front_en.7.400.jpg	1200.0	1050.0	25.0	8.93	2.27	0.893	3.57	0.0	0.0	10.7	0.0714	0.0	0.0	0.0
0044700008744	http://us.openfoodfacts.org/product/0044700008744	Bologna made with Chicken & Pork	http://static.openfoodfacts.org/images/products/004/470/000/8744/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/004/470/000/8744/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/004/470/000/8744/front_en.7.400.jpg	1200.0	0.0	25.0	8.93	2.27	0.893	3.57	0.0	0.0	10.7	0.0714	0.0	20.0	20.0
0041240522013	http://us.openfoodfacts.org/product/0041240522013	Bolognese Authentic Italian Pasta Sauce	http://static.openfoodfacts.org/images/products/004/124/052/2013/front_en.8.400.jpg	http://static.openfoodfacts.org/images/products/004/124/052/2013/front_en.8.200.jpg	http://static.openfoodfacts.org/images/products/004/124/052/2013/front_en.8.400.jpg	368.0	167.0	4.8	1.2	0.955	0.376	8.8	1.6	5.6	0.0	0.048	0.000576	0.0	0.0
0011152027869	http://us.openfoodfacts.org/product/0011152027869	Botan Rice Candy	http://static.openfoodfacts.org/images/products/001/115/202/7869/front_en.9.400.jpg	http://static.openfoodfacts.org/images/products/001/115/202/7869/front_en.9.200.jpg	http://static.openfoodfacts.org/images/products/001/115/202/7869/front_en.9.400.jpg	1600.0	100.0	2.38	0.0	0.0	0.0	85.7	0.0	38.1	0.0	0.0	0.0	0.0	0.0
0016000106406	http://us.openfoodfacts.org/product/0016000106406	Bread Flour	http://static.openfoodfacts.org/images/products/001/600/010/6406/front_en.10.400.jpg	http://static.openfoodfacts.org/images/products/001/600/010/6406/front_en.10.200.jpg	http://static.openfoodfacts.org/images/products/001/600/010/6406/front_en.10.400.jpg	1530.0	0.0	0.0	0.0	0.0	0.0	73.3	3.33	0.0	13.3	0.0	0.0036	0.0	0.0
0012000039218	http://us.openfoodfacts.org/product/0012000039218	Brisk Iced Tea Lemon	http://static.openfoodfacts.org/images/products/001/200/003/9218/front_en.8.400.jpg	http://static.openfoodfacts.org/images/products/001/200/003/9218/front_en.8.200.jpg	http://static.openfoodfacts.org/images/products/001/200/003/9218/front_en.8.400.jpg	93.1	0.0	0.0	0.0	0.0741	0.0292	5.56	0.0	5.56	0.0	0.0	0.0	0.0	0.0
0012000110221	http://us.openfoodfacts.org/product/0012000110221	Brisk Iced Tea Mango	http://static.openfoodfacts.org/images/products/001/200/011/0221/front_en.9.400.jpg	http://static.openfoodfacts.org/images/products/001/200/011/0221/front_en.9.200.jpg	http://static.openfoodfacts.org/images/products/001/200/011/0221/front_en.9.400.jpg	82.5	0.0	0.0	0.0	0.0715	0.0282	5.35	0.0	5.35	0.0	0.0	0.0	0.0	0.0
0896139001212	http://us.openfoodfacts.org/product/0896139001212	Brown sugar blondie	http://static.openfoodfacts.org/images/products/089/613/900/1212/front_en.5.400.jpg	http://static.openfoodfacts.org/images/products/089/613/900/1212/front_en.5.200.jpg	http://static.openfoodfacts.org/images/products/089/613/900/1212/front_en.5.400.jpg	1890.0	827.0	22.6	14.1	0.0896	0.0353	59.3	1.41	45.2	5.64	0.0282	0.00254	23.0	23.0
0073410028032	http://us.openfoodfacts.org/product/0073410028032	Brownberry Healthful nuts & seeds 100% Whole Grain Bread				1050.0	197.0	6.25	0.0	1.07	0.422	43.8	9.38	6.25	9.38	0.125	0.00225	-2.0	-2.0
00514941	http://us.openfoodfacts.org/product/00514941	Brussels Sprouts Parmyère	http://static.openfoodfacts.org/images/products/00514941/front_en.9.400.jpg	http://static.openfoodfacts.org/images/products/00514941/front_en.9.200.jpg	http://static.openfoodfacts.org/images/products/00514941/front_en.9.400.jpg	662.0	488.0	12.5	6.67	0.699	0.275	10.0	1.67	1.67	2.5	0.05	0.0009	2.0	2.0
5028869030209	http://us.openfoodfacts.org/product/5028869030209	Buckwheat Flour - Gluten Free	http://static.openfoodfacts.org/images/products/502/886/903/0209/front_en.7.400.jpg	http://static.openfoodfacts.org/images/products/502/886/903/0209/front_en.7.200.jpg	http://static.openfoodfacts.org/images/products/502/886/903/0209/front_en.7.400.jpg	1480.0	0.0	4.6	0.0	0.0	0.0	60.8	11.2	0.0	16.4	0.0	0.0	0.0	0.0
01810622	http://us.openfoodfacts.org/product/01810622	Bud Light	http://static.openfoodfacts.org/images/products/01810622/front_en.5.400.jpg	http://static.openfoodfacts.org/images/products/01810622/front_en.5.200.jpg	http://static.openfoodfacts.org/images/products/01810622/front_en.5.400.jpg	128.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.25	0.0	0.0	0.0	0.0
01847325	http://us.openfoodfacts.org/product/01847325	Budweiser	http://static.openfoodfacts.org/images/products/01847325/front_en.6.400.jpg	http://static.openfoodfacts.org/images/products/01847325/front_en.6.200.jpg	http://static.openfoodfacts.org/images/products/01847325/front_en.6.400.jpg	145.0	0.0	0.0	0.0	0.0	0.0	10.6	0.0	0.0	1.3	0.0	0.0	0.0	0.0
